Type;MNEM;NAME;ISIN;GEOGN;TR3N
870874;D:ADSX;ADIDAS (XET);DE000A1EWWW0;GERMANY;Textiles & Apparel
289746;D:AIRX;AIRBUS (XET);NL0000235190;FRANCE;Aerospace & Defense
866033;D:ALVX;ALLIANZ (XET);DE0008404005;GERMANY;Insurance
866034;D:BASX;BASF (XET);DE000BASF111;GERMANY;Chemicals
866035;D:BAYNX;BAYER (XET);DE000BAY0017;GERMANY;Pharmaceuticals
870528;D:BEIX;BEIERSDORF (XET);DE0005200000;GERMANY;Personal & Household Products & Services
866038;D:BMWX;BMW (XET);DE0005190003;GERMANY;Automobiles & Auto Parts
69026P;D:BNRX;BRENNTAG (XET);DE000A1DAHH0;GERMANY;Chemicals
866039;D:CBKX;COMMERZBANK (XET);DE000CBK1001;GERMANY;Banking Services
866040;D:CONX;CONTINENTAL (XET);DE0005439004;GERMANY;Automobiles & Auto Parts
2628M2;D:DTGX;DAIMLER TRUCK (XET) HOLDING E;DE000DTR0CK8;GERMANY;Machinery, Equipment & Components
866043;D:DBKX;DEUTSCHE BANK (XET);DE0005140008;GERMANY;Banking Services
13454V;D:DB1X;DEUTSCHE BOERSE (XET);DE0005810055;GERMANY;Investment Banking & Investment Services
280599;D:DHLX;DEUTSCHE POST (XET);DE0005552004;GERMANY;Freight & Logistics Services
882415;D:DTEX;DEUTSCHE TELEKOM (XET);DE0005557508;GERMANY;Telecommunications Services
2691ET;D:P911X;DR ING HC F PORSCHE(XET) PREF.;DE000PAG9113;GERMANY;Automobiles & Auto Parts
866060;D:EOANX;E ON N (XET);DE000ENAG999;GERMANY;Multiline Utilities
695406;D:FREX;FRESENIUS (XET);DE0005785604;GERMANY;Healthcare Providers & Services
882295;D:FMEX;FRESENIUS MED.CARE (XET);DE0005785802;GERMANY;Healthcare Providers & Services
888221;D:HNR1X;HANNOVER RUECK (XET);DE0008402215;GERMANY;Insurance
870522;D:HEIX;HEIDELBERG (XET) MATERIALS;DE0006047004;GERMANY;Construction Materials
866046;D:HEN3X;HENKEL PREF. (XET);DE0006048432;GERMANY;Chemicals
287940;D:IFXX;INFINEON TECHS. (XET);DE0006231004;GERMANY;Semiconductors & Semiconductor Equipment
688701;D:MBGX;MERCEDES-BENZ GROUP(XET) N;DE0007100000;GERMANY;Automobiles & Auto Parts
870876;D:MRKX;MERCK KGAA (XET);DE0006599905;GERMANY;Pharmaceuticals
31131X;D:MTXX;MTU AERO ENGINES (XET) HLDG.;DE000A0D9PT0;GERMANY;Aerospace & Defense
870533;D:MUV2X;MUNCH. (XET) RVRS.GESELL.MUNCH.N;DE0008430026;GERMANY;Insurance
870491;D:PAH3X;PORSCHE AML.HLDG. (XET) PREF.;DE000PAH0038;GERMANY;Automobiles & Auto Parts
882416;D:QIA;QIAGEN (FRA);NL0015002SN0;GERMANY;Biotechnology & Medical Research
870540;D:RHMX;RHEINMETALL (XET);DE0007030009;GERMANY;Aerospace & Defense
866056;D:RWEX;RWE (XET);DE0007037129;GERMANY;Multiline Utilities
888098;D:SAPX;SAP (XET);DE0007164600;GERMANY;Software & IT Services
697721;D:SRT3X;SARTORIUS PREF. (XET);DE0007165631;GERMANY;Healthcare Equipment & Supplies
866058;D:SIEX;SIEMENS (XET);DE0007236101;GERMANY;Machinery, Equipment & Components
9826NT;D:ENRX;SIEMENS ENERGY N (XET);DE000ENER6Y0;GERMANY;Renewable Energy
92770M;D:SHLX;SIEMENS (XET) HEALTHINEERS;DE000SHL1006;GERMANY;Healthcare Equipment & Supplies
41442W;D:SY1X;SYMRISE (XET);DE000SYM9999;GERMANY;Chemicals
888096;D:VOW3X;VOLKSWAGEN PREF. (XET);DE0007664039;GERMANY;Automobiles & Auto Parts
89379C;D:VNAX;VONOVIA (XET);DE000A1ML7J1;GERMANY;Real Estate Operations
9142RP;D:ZALX;ZALANDO (XET);DE000ZAL1111;GERMANY;Software & IT Services
