"Aktie";"Gewicht_Normal";"Gewicht_na_omit";"Differenz_absolut"
"LOCKHEED.MARTIN";0;0,0763;0,0763
"OTIS.WORLDWIDE";0,0704;0;0,0704
"KEURIG.DR.PEPPER";0,0697;0,0176;0,0521
"VERIZON.COMMUNICATIONS";0,0904;0,041;0,0494
"CME.GROUP";0;0,049;0,049
"MCKESSON";0;0,0477;0,0477
"KROGER";0,0534;0,0086;0,0448
"CBOE.GLOBAL.MARKETS.BTS.";0,0323;0,0717;0,0394
"BRISTOL.MYERS.SQUIBB";0,063;0,0269;0,0361
"DOMINO.S.PIZZA";0,0343;0;0,0343
"CLOROX";0,0299;0;0,0299
"CONSTELLATION.ENERGY";0,0255;0;0,0255
"CHEVRON";0;0,0253;0,0253
"KIMBERLY.CLARK";0;0,0253;0,0253
"DAVITA";0;0,0244;0,0244
"AIRBNB.A";0,0238;0;0,0238
"JOHNSON...JOHNSON";0,0603;0,0835;0,0232
"GEN.DIGITAL";0,0219;0;0,0219
"FOX.A";0;0,0203;0,0203
"HILTON.WORLDWIDE.HDG.";0,0189;0;0,0189
"ALTRIA.GROUP";0;0,0184;0,0184
"GILEAD.SCIENCES";0,017;0;0,017
"NEWMONT";0,0162;8e-04;0,0154
"MERCK...COMPANY";0,0386;0,0535;0,0149
"MCDONALDS";0;0,0144;0,0144
"CHIPOTLE.MEXN.GRILL";0;0,0141;0,0141
"J.M.SMUCKER";0,0137;0;0,0137
"SYNOPSYS";0;0,0121;0,0121
"WALMART";0,0518;0,0414;0,0104
"AKAMAI.TECHS.";0;0,0099;0,0099
"WASTE.MANAGEMENT";0;0,0095;0,0095
"INTERNATIONAL.BUS.MCHS.";0;0,0091;0,0091
"TAKE.TWO.INTACT.SFTW.";0,0039;0,0115;0,0076
"GENERAL.MILLS";0,0119;0,0047;0,0072
"ELI.LILLY";0;0,0068;0,0068
"INCYTE";0,0085;0,0148;0,0063
"AMGEN";0;0,0062;0,0062
"BROADCOM";0;0,0059;0,0059
"HUMANA";0;0,0059;0,0059
"ABBVIE";0,0233;0,0177;0,0056
"NETAPP";0;0,0056;0,0056
"COLGATE.PALM.";0;0,0052;0,0052
"SMURFIT.WESTROCK";0,04;0,0352;0,0048
"PALANTIR.TECHNOLOGIES.A";0,004;0;0,004
"THE.CAMPBELL.S.COMPANY";0,004;0;0,004
"ELECTRONIC.ARTS";0,0514;0,055;0,0036
"HORMEL.FOODS";0,0293;0,0263;0,003
"VALERO.ENERGY";0;0,0029;0,0029
"KELLANOVA.DEAD";0,0751;0,0776;0,0025
"CHURCH...DWIGHT.CO.";0;0,0014;0,0014
"QUEST.DIAGNOSTICS";0,0011;0;0,0011
"TYSON.FOODS..A.";0,0068;0,0057;0,0011
"CH.ROBINSON.WWD.";0,0096;0,0101;5e-04
"O.REILLY.AUTOMOTIVE";0;5e-04;5e-04
