"Jahr";"Portfolio_Typ";"Aktie";"Gewicht"
"2010";"Min Variance";"HORMEL.FOODS";0,1317
"2010";"Min Variance";"GENERAL.MILLS";0,1209
"2010";"Min Variance";"CLOROX";0,0997
"2010";"Min Variance";"C.R.BARD.DEAD";0,085
"2010";"Min Variance";"CONAGRA.BRANDS";0,0625
"2010";"Min Variance";"LABCORP.HOLDINGS";0,0622
"2010";"Min Variance";"CONSOLIDATED.EDISON";0,0615
"2010";"Min Variance";"JOHNSON...JOHNSON";0,0538
"2010";"Min Variance";"REYNOLDS.AMERICAN.DEAD";0,0449
"2010";"Min Variance";"WEC.ENERGY.GROUP";0,044
"2010";"Min Variance";"BECTON.DICKINSON";0,0357
"2010";"Min Variance";"CEPHALON.DEAD";0,0304
"2010";"Min Variance";"THE.CAMPBELL.S.COMPANY";0,03
"2010";"Min Variance";"PEPSICO";0,026
"2010";"Min Variance";"WALMART";0,0225
"2010";"Min Variance";"LORILLARD.DEAD";0,0198
"2010";"Min Variance";"AON.CLASS.A";0,0178
"2010";"Min Variance";"NEWMONT";0,0153
"2010";"Min Variance";"MCCORMICK...COMPANY.NV.";0,0097
"2010";"Min Variance";"ABBOTT.LABORATORIES";0,0077
"2010";"Min Variance";"SOUTHERN";0,0075
"2010";"Min Variance";"DAVITA";0,0054
"2010";"Min Variance";"MCDONALDS";0,0038
"2010";"Min Variance";"MOLSON.COORS.BEVERAGE.COMPANY.B";0,0017
"2010";"Min Variance";"LEXMARK.INTL..DEAD";7e-04
"2010";"Target Vol 18.21%";"LORILLARD.DEAD";0,2351
"2010";"Target Vol 18.21%";"GENERAL.MILLS";0,1349
"2010";"Target Vol 18.21%";"HORMEL.FOODS";0,0809
"2010";"Target Vol 18.21%";"BOOKING.HOLDINGS";0,079
"2010";"Target Vol 18.21%";"APPLE";0,0742
"2010";"Target Vol 18.21%";"MCDONALDS";0,0682
"2010";"Target Vol 18.21%";"STERICYCLE.DEAD";0,0552
"2010";"Target Vol 18.21%";"COVISTA";0,0494
"2010";"Target Vol 18.21%";"BAXTER.INTL.";0,0391
"2010";"Target Vol 18.21%";"MEDCO.HEALTH.SLTN..DEAD";0,0387
"2010";"Target Vol 18.21%";"INTUITIVE.SURGICAL";0,0381
"2010";"Target Vol 18.21%";"EXPRESS.SCRIPTS.HOLDING.DEAD";0,0287
"2010";"Target Vol 18.21%";"MASTERCARD";0,0249
"2010";"Target Vol 18.21%";"CELGENE.DEAD";0,018
"2010";"Target Vol 18.21%";"WEC.ENERGY.GROUP";0,0157
"2010";"Target Vol 18.21%";"CENCORA";0,0129
"2010";"Target Vol 18.21%";"J.M.SMUCKER";0,007
"2010";"Target Vol 25.37%";"LORILLARD.DEAD";0,3084
"2010";"Target Vol 25.37%";"BOOKING.HOLDINGS";0,1471
"2010";"Target Vol 25.37%";"APPLE";0,102
"2010";"Target Vol 25.37%";"MASTERCARD";0,093
"2010";"Target Vol 25.37%";"INTUITIVE.SURGICAL";0,0861
"2010";"Target Vol 25.37%";"EXPRESS.SCRIPTS.HOLDING.DEAD";0,0857
"2010";"Target Vol 25.37%";"COVISTA";0,072
"2010";"Target Vol 25.37%";"CELGENE.DEAD";0,0415
"2010";"Target Vol 25.37%";"FIRST.SOLAR";0,0356
"2010";"Target Vol 25.37%";"SOUTHWESTERN.ENERGY.DEAD";0,0168
"2010";"Target Vol 25.37%";"MEDCO.HEALTH.SLTN..DEAD";0,0118
"2010";"Target Vol 32.54%";"BOOKING.HOLDINGS";0,2077
"2010";"Target Vol 32.54%";"MASTERCARD";0,183
"2010";"Target Vol 32.54%";"LORILLARD.DEAD";0,1509
"2010";"Target Vol 32.54%";"INTUITIVE.SURGICAL";0,1294
"2010";"Target Vol 32.54%";"FIRST.SOLAR";0,1075
"2010";"Target Vol 32.54%";"APPLE";0,0915
"2010";"Target Vol 32.54%";"SOUTHWESTERN.ENERGY.DEAD";0,0466
"2010";"Target Vol 32.54%";"COVISTA";0,0379
"2010";"Target Vol 32.54%";"EXPRESS.SCRIPTS.HOLDING.DEAD";0,0229
