"Jahr";"Portfolio_Typ";"Rendite_Prozent";"Vola_Prozent"
"2010";"Min Variance";8,48;13,38
"2010";"Target Vol 18.21%";27,54;18,21
"2010";"Target Vol 25.37%";42,39;25,37
"2010";"Target Vol 32.54%";52,24;32,55
"2010";"Target Vol 39.71%";60,22;39,72
"2015";"Min Variance";14,9;9,28
"2015";"Target Vol 18.21%";44,41;18,2
"2015";"Target Vol 25.37%";52,92;25,38
"2015";"Target Vol 32.54%";58,94;32,54
"2015";"Target Vol 39.71%";63,07;39,71
"2020";"Min Variance";14,07;8,95
"2020";"Target Vol 18.21%";42,73;18,21
"2020";"Target Vol 25.37%";51,07;25,37
"2020";"Target Vol 32.54%";57,77;32,54
"2020";"Target Vol 39.71%";63,36;39,72
"2025";"Min Variance";12,22;12,55
"2025";"Target Vol 18.21%";40,77;18,21
"2025";"Target Vol 25.37%";55,28;25,38
"2025";"Target Vol 32.54%";65,08;32,54
"2025";"Target Vol 39.71%";71,85;39,71
